Promocional*,Urbanístico*,"Latitud, Longitud*",Dirección ,Municipio*,Provincia*,Comunidad Autónoma*,Tipología de asentamiento principal (ver pestaña ayuda)*,Tipología del asentamiento secundaria( ver pestaña ayuda),"FUENTE (nación rotonda, 6000km, etc)*",enlace web,Enlance a mapa de foto aérea en el que se visualice el cadáver ,"Fecha, autor, fuente de la foto",Padre o Madre adoptivo del cadáver,Superficie del terreno (m2),Superficie construida (m2),Suelo ocupado actual (%),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Selección desplegable,Comentarios/ otras opciones,Promotor,Constructor,Arquitecto o técnico redactor,Descripción,Código INE Municipio,Código INE Provincia,Seleccion desplegable,Comentarios / otros,Selección desplegable,Comentarios / otros,Edificabilidad absoluta planificada o aprobada (m2),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Número de habitantes previsto,Número de visitantes previsto ( aplicable a centros de ocio),"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otras fechas,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,Recursos interpuestos,Sentencias judiciales,Número y fecha de la sentencia,Tribunal que la dicta,Fallo,Hipotecas y cargas,Cuantía de la hipoteca (€),Concurso de acreedores del promotor,Entidades financieras vinculadas,Figuras de protección ambiental,"Nombre y categoría, en su caso",Zonificación (nivel de protección),Dominio público marítimo-terrestre,Enlaces a noticias de prensa,Material gráfico y promocional,Archivos adjuntos
Fuente Fría Norte,UNP 4.11,"40.5037091,-3.6424686","Camino Arroyo de Valdebebas, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.5037091,-3.6424686,786m/data=!3m1!1e3?hl=es",,,193500,,,193,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Vallecas-La Atalayuela,UZP 1.04,"40.3679792,-3.6388876","Poligono UZP0104 Atalayuela, Madrid",Madrid,Madrid,Comunidad de Madrid,ZIP - Zona industrial vinculada a población,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.3679792,-3.6388876,2431m/data=!3m1!1e3?hl=es",,,1704500,,,,,,,,Urbanización terminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Desarrollo del Este-Los Cerros,UZP 2.02,"40.4023578,-3.5385635","Poligono UZP0202 los Cerros, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.4023578,-3.5385635,2315m/data=!3m1!1e3?hl=es",,,4689000,,,12849,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Desarrollo del Este-Los Ahijones,UZP 2.03,"40.3880511,-3.5689037","Carretera Vicálvaro a Rivas del Jarama, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.3880511,-3.5689037,3947m/data=!3m1!1e3?hl=es",,,5466900,,,16982,,,,,Urbanización no terminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Desarrollo del Este-Valdecarros,UZP 3.01,,"Poligono UZP0301 Valdecarros, 97, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.3523101,-3.6393023,4850m/data=!3m1!1e3?hl=es",,,19665000,,,49375,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
P.P. de Tres Cantos,SU- AR “Nuevo tres cantos”,"40.6222031,-3.7172356",Norte de Tres Cantos,Tres Cantos,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,,"https://www.google.es/maps/place/Poligono+Ar,+127,+28760+Tres+Cantos,+Madrid/@40.6222031,-3.7172356,2263m/data=!3m1!1e3!4m2!3m1!1s0xd43d5a39b6bb6f7:0xf8ebe333aabb47f4!6m1!1e1?hl=es",,,,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.P. de Torrelodones,Sector A.H.S,"40.5656275,-3.9188534","Area Homogénea Sur,Torrelodones",Torrelodones,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,http://www.nacionrotonda.com/2013/06/tres-cantos-madrid-2005-2012.html,"https://www.google.es/maps/@40.5656275,-3.9188534,1699m/data=!3m1!1e3?hl=es",,,,,,,,,,,Edificación terminada con uso parcial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Cañaveral,"UZP.2.03 ""Los Ahijones""","40.4004331,-3.5544875","Poligono los Cerros, Vicálvaro",Vicálvaro,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,http://www.nacionrotonda.com/2014/02/torrelodones-sur-madrid.html,"https://www.google.es/maps/@40.4004331,-3.5544875,2386m/data=!3m1!1e3?hl=es",,,,,,,,,,,Urbanización terminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Berrocales,Poligono UZP 2.04,"40.3840293,-3.5959624","Los Berrocales, Vicálvaro",Vicálvaro,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,http://www.nacionrotonda.com/2013/05/la-canada-real-madrid-2005-2012.html,"https://www.google.es/maps/place/Poligono+UZP0204+los+Berrocales,+30,+28031+Madrid/@40.3840293,-3.5959624,2421m/data=!3m1!1e3!4m2!3m1!1s0xd42253ce2917d29:0xd46bfdba99f3e2c7!6m1!1e1?hl=es",,,7733200,,,23387,,,,,Inicio de los trabajos (movimiento de tierras),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Parque Forestal Fuente Carrantona,"Cuña verde ""O’Donnell""","40.4103194,-3.6260275",Moratalaz,Madrid,Madrid,Comunidad de Madrid,DEO - Desarrollo ligado a instalaciones de ocio,-,6000km,http://es.wikipedia.org/wiki/Los_Berrocales_(Madrid),"https://www.google.es/maps/place/40%C2%B024'37.0%22N+3%C2%B037'36.2%22W/@40.4109877,-3.6265529,1130m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0!6m1!1e1?hl=es",,,220000,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estadio de Vallehermoso y Parque de Santander,"Solar ""Estadio Vallehermoso""","40.4413678,-3.7094678","Calle Juan Vigón, Madrid",Madrid,Madrid,Comunidad de Madrid,DEO - Desarrollo ligado a instalaciones de ocio,-,Ecologistas en Acción,http://www.6000km.org/localizaciones/cementerio-de-arboles-parque-forestal-fuente-carrantona/,"https://www.google.es/maps/@40.4413678,-3.7094678,563m/data=!3m1!1e3?hl=es",,,,,,,,,,,Inicio de los trabajos (movimiento de tierras),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El hospital de Collado Villalba,"Sector ""La Chopera""","40.6543497,-4.0023212","Calle Castilla, Collado Villalba",Collado Villalba,Madrid,Comunidad de Madrid,TIA - Infraestructuras de impacto territorial ,-,Ecologistas en Acción,http://www.nacionrotonda.com/2013/10/estadio-de-vallehermoso-y-parque-de.html,"https://www.google.es/maps/@40.6543497,-4.0023212,1209m/data=!3m1!1e3?hl=es",,,57600,,,,,,,,Urbanización terminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres Cantos y Real Federación Española de Golf,"Finca ""Valdeloshielos""","40.5941662,-3.7247196","Unnamed Rd, 28760 Tres Cantos",Tres Cantos,Madrid,Comunidad de Madrid,TEA - Terciario aislado,-,Ecologistas en Acción,http://sociedad.elpais.com/sociedad/2010/03/24/actualidad/1269385203_850215.html,"https://www.google.es/maps/@40.5941662,-3.7247196,1517m/data=!3m1!1e3?hl=es",,,2300000,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campo de golf en El Rincón,"Finca ""El Rincón""","40.3158469,-4.2120907","M-507, 28620 Aldea del Fresno",Aldea del Fresno,Madrid,Comunidad de Madrid,TEA - Terciario aislado,-,Ecologistas en Acción,http://www.diagramconsultores.com/anuncios-ong-videos/medio-ambiente/31383-no-al-campo-de-golf-de-valdeloshielos-v15-31383,"https://www.google.es/maps/@40.3158469,-4.2120907,1704m/data=!3m1!1e3?hl=es",,,710000,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Madrid,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Madrid,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Madrid,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Madrid,Comunidad de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
