Promocional*,Urbanístico*,"Latitud, Longitud*",Dirección ,Municipio*,Provincia*,Comunidad Autónoma*,Tipología de asentamiento principal (ver pestaña ayuda)*,Tipología del asentamiento secundaria( ver pestaña ayuda),"FUENTE (nación rotonda, 6000km, etc)*",enlace web,Enlance a mapa de foto aérea en el que se visualice el cadáver ,"Fecha, autor, fuente de la foto",Padre o Madre adoptivo del cadáver,Superficie del terreno (m2),Superficie construida (m2),Suelo ocupado actual (%),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Selección desplegable,Comentarios/ otras opciones,Promotor,Constructor,Arquitecto o técnico redactor,Descripción,Código INE Municipio,Código INE Provincia,Seleccion desplegable,Comentarios / otros,Selección desplegable,Comentarios / otros,Edificabilidad absoluta planificada o aprobada (m2),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Número de habitantes previsto,Número de visitantes previsto ( aplicable a centros de ocio),"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otras fechas,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,Recursos interpuestos,Sentencias judiciales,Número y fecha de la sentencia,Tribunal que la dicta,Fallo,Hipotecas y cargas,Cuantía de la hipoteca (€),Concurso de acreedores del promotor,Entidades financieras vinculadas,Figuras de protección ambiental,"Nombre y categoría, en su caso",Zonificación (nivel de protección),Dominio público marítimo-terrestre,Enlaces a noticias de prensa,Material gráfico y promocional,Archivos adjuntos
Sierra Real Golf,ZU-SF-JA2 “Finca el Escobar”,"37.859365, -0.984146","Finca El Escobar, Jerónimos y Avileses","Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/sierra-real-golf,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Carretillas,ZU-SP-JA8 “Las Carretillas”,"37.8457962,-0.9862186",Jerónimos y Avileses,"Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/las-carretillas,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacienda Riquelme Golf Resort,Zu-Su-SN 6 “Finca Riquelme”,"37.8914848,-0.969698","Sucina, Partido de Bálsicas","Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas- Nación Rotonda,http://www.nacionrotonda.com/2013/06/sucina-murcia.html,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peisa Golf Mar Menor,Zu-Sb-Sn8 “Peysa Centro”,"37.902261, -0.958613","Sucina, Partido de Bálsicas","Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/peisa-golf-mar-menor,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucina Golf & Country Club,ZU-SU-Sn4,"37.886939, -0.938893","Sucina, Partido de Bálsicas","Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/sucina-golf-country-club,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Peraleja Golf,Zu-SF-Sn5 “La Peraleja”,"37.8739598,-0.9530825","Sucina, Partido de Bálsicas","Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas- Nación Rotonda,http://www.juliaschulzdornburg.com/cas/peraleja-golf,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden del Mar,Zu-SF-JA4,"37.857481, -0.941092",Jerónimos y Avileses,"Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/eden-del-mar,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Altos de Sucina,"Zu-SP-Sn7 "" altos del Sucina""","37.874471, -0.939287","Sucina, Partido de Bálsicas","Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/altos-de-sucina,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochando Golf,Zu-SP-JA5 “hacienda de Ochando”,"37.865680, -0.927496","Sucina, Partido de Bálsicas","Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas- Nación Rotonda,http://www.nacionrotonda.com/2013/06/avileses-murcia.html   http://www.juliaschulzdornburg.com/cas/ochando-golf,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucina Golf,ZU-SP-JA7 “Finca Sucina Golf”,"37.871168, -0.916467",Jerónimos y Avileses,"Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/sucina-golf-country-club,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Serena Golf and Beach Resort,"SUE ""Torre del Rame""","37.850933,-1.06703",Los Alcáceres,"Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Mediturban-Nación Rotonda,http://www.nacionrotonda.com/2013/05/los-alcazares-murcia-2002-2011.html,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paramount Park Murcia & Lifestylecentre,"PEO complejo turístico- recreativo "" Parque temático Paramount","37.778654, -1.339699",Alhama de Murcia,"Murcia
",------,Región de Murcia,DEO - Desarrollo ligado a instalaciones de ocio,-,Mediturban-6000km,,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polígono Industrial "" Los Prados""",,"38.264740, -1.437449","N-301, 30535 Cieza",Murcia,------,Región de Murcia,ZIP - Zona industrial vinculada a población,-,Mediturban,,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polígono industrial "" Los alderetes""",SECTOR URSAE-2 ,"38.177170, -1.869031","Hacienda del Alderete, ctra de Caravaca, km 11. Moratalla",Murcia,------,Región de Murcia,ZIA - Zona industrial aislada,-,Mediturban,,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edificio academia infantería,,"38.00623597805687,-1.1313879489898682",,Murcia,------,,TEP - Terciario vinculado a población,,,,,,jafesan,7000,,,,,,,,Edificación no terminada,,,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torre Invercón,,"38.006710, -1.148361",c/ central 17,Murcia,------,,TEP - Terciario vinculado a población,,,,,,Roger Otein,9072,,,,,,,,Edificación no terminada,"Un enorme esqueleto de hormigon de unas 15 - 17 plantas relativamente cerca del nucleo urbano pensada para ser oficinas. Lleva asi unos 6 años, antes tenia una grua pero la quitaron hace un año. El edificio de al lado tambien sin uso pero acabado tiene un guardia que a veces te dice que no puedes entrar, otras no se da cuenta.",,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar Menor Golf Resort,,,,Murcia,------,Región de Murcia,-,-,,,,,,,,,,,,,,-,,,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Manual,,,Huelva,Barcelona,Barcelona,Catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
