"","nombre_promocional","longitud","latitud","enlace_web","Tipo","geometry","corpse_category"
"65","Tamaduste","-17.895315","27.826241","http://www.nacionrotonda.com/2014/04/tamaduste-el-hierro-santa-cruz-de.html",,,"Desenterrados"
"66","Camposol","-1.365592","37.662894","http://www.nacionrotonda.com/2014/05/camposol-murcia.html",,,"Desenterrados"
"67","Cárcel de Carabanchel","-3.754023","40.38139","http://www.nacionrotonda.com/2014/05/carcel-de-carabanchel-madrid.html",,,"Desenterrados"
"68","Carranque","-3.897615","40.168522","http://www.nacionrotonda.com/2014/05/carranque-toledo.html",,,"Desenterrados"
"69","Corme Porto","-8.956935","43.265845","http://www.nacionrotonda.com/2014/05/corme-porto-coruna.html",,,"Desenterrados"
"70","Ibi","-0.586172","38.616876","http://www.nacionrotonda.com/2014/05/ibi-alicante.html",,,"Desenterrados"
"71","Lalín","-8.107926","42.659431","http://www.nacionrotonda.com/2014/05/lalin-pontevedra.html",,,"Desenterrados"
"72","Las Caletas","-13.508641","28.991424","http://www.nacionrotonda.com/2014/05/las-caletas-las-palmas.html",,,"Desenterrados"
"73","Medina Elvira","-3.687733","37.273924","http://www.nacionrotonda.com/2014/05/medina-elvira-granada.html",,,"Desenterrados"
"74","Ontígola","-3.573433","40.00867","http://www.nacionrotonda.com/2014/05/ontigola-toledo.html",,,"Desenterrados"
"75","Pozo Izquierdo","-15.424309","27.829142","http://www.nacionrotonda.com/2014/05/pozo-izquierdo-las-palmas.html",,,"Desenterrados"
"76","Remondo","-4.478586","41.340478","http://www.nacionrotonda.com/2014/05/remondo-segovia.html",,,"Desenterrados"
"77","Salvatierra de Miño","-8.448975","42.100188","http://www.nacionrotonda.com/2014/05/salvatierra-de-mino-pontevedra.html",,,"Desenterrados"
"78","Segorbe","-0.485203","39.847042","http://www.nacionrotonda.com/2014/05/segorbe-castellon.html",,,"Desenterrados"
"79","Teruel (sur)","-1.098516","40.331233","http://www.nacionrotonda.com/2014/05/teruel-sur.html",,,"Desenterrados"
"80","Utrera (Norte)","-5.76965","37.194935","http://www.nacionrotonda.com/2014/05/utrera-norte-sevilla.html",,,"Desenterrados"
"81","Utrera (sur)","-5.778875","37.176805","http://www.nacionrotonda.com/2014/05/utrera-sur-sevilla.html",,,"Desenterrados"
